Gemeindekennziffer;Gemeindename;Gemeindecode;Ortschaftkennziffer;Ortschaftsname;Postleitzahl
10101;Eisenstadt;10101;00001;Eisenstadt;7000
10101;Eisenstadt;10101;00002;Kleinhöflein im Burgenland;7000
10101;Eisenstadt;10101;00003;Sankt Georgen am Leithagebirge;7000
10201;Rust;10201;00004;Rust;7071
10301;Breitenbrunn am Neusiedler See;10301;00005;Breitenbrunn am Neusiedler See;7091
10302;Donnerskirchen;10302;00006;Donnerskirchen;7082
10303;Großhöflein;10303;00007;Großhöflein;7051
10304;Hornstein;10304;00008;Hornstein / Voritan;2491 7053
10305;Klingenbach;10305;00009;Klingenbach / Klimpuh;7013
10306;Leithaprodersdorf;10306;00010;Leithaprodersdorf;2443
10307;Mörbisch am See;10307;00013;Mörbisch am See;7072
10308;Müllendorf;10308;00014;Müllendorf;7052
10309;Neufeld an der Leitha;10316;00015;Neufeld an der Leitha;2491 2491
10310;Oggau am Neusiedler See;10310;00016;Oggau am Neusiedler See;7063
10311;Oslip;10311;00017;Oslip / Uzlop;7064
10312;Purbach am Neusiedler See;10312;00018;Purbach am Neusiedler See;7083
10313;Sankt Margarethen im Burgenland;10313;00019;Sankt Margarethen im Burgenland;7062
10314;Schützen am Gebirge;10314;00020;Schützen am Gebirge;7081
10315;Siegendorf;10315;00021;Siegendorf / Cindrof;7011
10316;Steinbrunn;10316;00023;Steinbrunn / tikapron;2491 7035
10317;Trausdorf an der Wulka;10317;00025;Trausdorf an der Wulka / Trajtof;7061
10318;Wimpassing an der Leitha;10318;00026;Wimpassing an der Leitha;2485
10319;Wulkaprodersdorf;10319;00027;Wulkaprodersdorf / Vulkaprodrtof;7041
10320;Loretto;10320;00011;Loretto;2443
10321;Stotzing;10321;00012;Stotzing;2443
10322;Zillingtal;10322;00024;Zillingtal / Celindof;7033 7034 7035
10323;Zagersdorf;10323;00022;Zagersdorf / Cogrtof;7011
10401;Bocksdorf;10401;00028;Bocksdorf;7551
10402;Burgauberg-Neudauberg;10402;00031;Burgauberg;8291
10402;Burgauberg-Neudauberg;10402;00032;Neudauberg;8292
10403;Eberau;10403;00033;Eberau;7521
10403;Eberau;10403;00034;Gaas;7521
10403;Eberau;10403;00035;Kroatisch Ehrensdorf;7522
10403;Eberau;10403;00036;Kulm im Burgenland;7521
10403;Eberau;10403;00039;Winten;7521
10404;Gerersdorf-Sulz;10404;00040;Gerersdorf bei Güssing;7542
10404;Gerersdorf-Sulz;10404;00041;Rehgraben;7540
10404;Gerersdorf-Sulz;10404;00042;Sulz im Burgenland;7540 7542
10405;Güssing;10405;00043;Glasing;7540
10405;Güssing;10405;00044;Güssing;7540
10405;Güssing;10405;00045;Krottendorf;7540
10405;Güssing;10405;00046;Sankt Nikolaus;7540
10405;Güssing;10405;00047;Steingraben;7540 7542
10405;Güssing;10405;00048;Urbersdorf;7540
10406;Güttenbach;10406;00049;Güttenbach / Pinkovac;7535
10407;Heiligenbrunn;10407;00050;Deutsch Bieling;7522
10407;Heiligenbrunn;10407;00051;Hagensdorf im Burgenland;7522
10407;Heiligenbrunn;10407;00052;Heiligenbrunn;7522
10407;Heiligenbrunn;10407;00053;Luising;7522
10407;Heiligenbrunn;10407;00054;Reinersdorf;7522
10408;Kukmirn;10408;00055;Eisenhüttl;7543
10408;Kukmirn;10408;00056;Kukmirn;7543
10408;Kukmirn;10408;00057;Limbach;7543
10408;Kukmirn;10408;00058;Neusiedl;7543
10409;Neuberg im Burgenland;10409;00059;Neuberg im Burgenland / Nova Gora;7535
10410;Neustift bei Güssing;10410;00063;Neustift bei Güssing;7540
10411;Olbendorf;10411;00065;Olbendorf;7534
10412;Ollersdorf im Burgenland;10412;00067;Ollersdorf im Burgenland;7533 8292
10413;Sankt Michael im Burgenland;10413;00069;Gamischdorf;7535
10413;Sankt Michael im Burgenland;10413;00071;Sankt Michael im Burgenland;7535
10413;Sankt Michael im Burgenland;10413;00072;Schallendorf im Burgenland;7535
10414;Stegersbach;10414;00073;Stegersbach;7551
10415;Stinatz;10415;00074;Stinatz / Stinjaki;7552
10416;Strem;10416;00075;Deutsch Ehrensdorf;7522
10416;Strem;10416;00077;Steinfurt;7522
10416;Strem;10416;00078;Strem;7522
10416;Strem;10416;00079;Sumetendorf;7522
10417;Tobaj;10417;00080;Deutsch Tschantschendorf;7535
10417;Tobaj;10417;00081;Hasendorf im Burgenland;7540
10417;Tobaj;10417;00082;Kroatisch Tschantschendorf;7535
10417;Tobaj;10417;00083;Punitz;7535 7540
10417;Tobaj;10417;00084;Tobaj;7540
10417;Tobaj;10417;00085;Tudersdorf;7535
10418;Hackerberg;10418;00066;Hackerberg;8292
10419;Wörterberg;10419;00068;Wörterberg;8293
10420;Großmürbisch;10420;00060;Großmürbisch;7540
10421;Inzenhof;10421;00061;Inzenhof;7540
10422;Kleinmürbisch;10422;00062;Kleinmürbisch;7540
10423;Tschanigraben;10423;00064;Tschanigraben;7540
10424;Heugraben;10424;00029;Heugraben;7551
10425;Rohr im Burgenland;10425;00030;Rohr im Burgenland;7551
10426;Bildein;10426;00037;Oberbildein;7521
10426;Bildein;10426;00038;Unterbildein;7521
10427;Rauchwart;10427;00070;Rauchwart;7535
10428;Moschendorf;10428;00076;Moschendorf;7540
10501;Deutsch Kaltenbrunn;10501;00086;Deutsch Kaltenbrunn;7572
10501;Deutsch Kaltenbrunn;10501;00087;Rohrbrunn;7572
10502;Eltendorf;10502;00088;Eltendorf;7562
10502;Eltendorf;10502;00090;Zahling;7562
10503;Heiligenkreuz im Lafnitztal;10503;00091;Heiligenkreuz im Lafnitztal;7561
10503;Heiligenkreuz im Lafnitztal;10503;00092;Poppendorf im Burgenland;7561
10504;Jennersdorf;10504;00093;Grieselstein;8380
10504;Jennersdorf;10504;00094;Henndorf im Burgenland;8282 8380
10504;Jennersdorf;10504;00095;Jennersdorf;8380
10504;Jennersdorf;10504;00096;Rax;8380
10505;Minihof-Liebau;10505;00097;Minihof-Liebau;8384
10505;Minihof-Liebau;10505;00098;Tauka;8384
10505;Minihof-Liebau;10505;00099;Windisch-Minihof;8384
10506;Mogersdorf;10506;00100;Deutsch Minihof;8382
10506;Mogersdorf;10506;00101;Mogersdorf;8382
10506;Mogersdorf;10506;00102;Wallendorf;8382
10507;Neuhaus am Klausenbach;10507;00103;Bonisdorf;8384 8385
10507;Neuhaus am Klausenbach;10507;00104;Kalch;8385
10507;Neuhaus am Klausenbach;10507;00105;Krottendorf bei Neuhaus am Klausenbach;8385
10507;Neuhaus am Klausenbach;10507;00107;Neuhaus am Klausenbach;8385
10508;Rudersdorf;10508;00108;Dobersdorf;7564
10508;Rudersdorf;10508;00109;Rudersdorf;7571
10509;Sankt Martin an der Raab;10509;00110;Doiber;8383
10509;Sankt Martin an der Raab;10509;00111;Gritsch;8383
10509;Sankt Martin an der Raab;10509;00112;Neumarkt an der Raab;8380
10509;Sankt Martin an der Raab;10509;00113;Oberdrosen;8383 8384
10509;Sankt Martin an der Raab;10509;00114;Sankt Martin an der Raab;8383
10509;Sankt Martin an der Raab;10509;00115;Welten;8350 8383 8385
10509;Sankt Martin an der Raab;10509;17523;Eisenberg an der Raab;8383
10510;Weichselbaum;10510;00116;Krobotek;8382
10510;Weichselbaum;10510;00117;Maria Bild;8382
10510;Weichselbaum;10510;00118;Rosendorf;8382
10510;Weichselbaum;10510;00119;Weichselbaum;8382
10511;Königsdorf;10511;00089;Königsdorf;7563
10512;Mühlgraben;10512;00106;Mühlgraben;8385
10601;Draßburg;10601;00121;Draßburg / Rasporak;7021
10602;Forchtenstein;10602;00122;Forchtenstein;7212
10603;Hirm;10603;00125;Hirm;7024
10604;Loipersbach im Burgenland;10604;00126;Loipersbach im Burgenland;7022
10605;Marz;10605;00127;Marz;7221
10606;Mattersburg;10606;00128;Mattersburg;7210
10606;Mattersburg;10606;00129;Walbersdorf;7210
10607;Neudörfl;10607;00130;Neudörfl;7201
10608;Pöttelsdorf;10608;00131;Pöttelsdorf;7023
10609;Pöttsching;10609;00134;Pöttsching;7033 7202
10610;Rohrbach bei Mattersburg;10610;00135;Rohrbach bei Mattersburg;7222
10611;Bad Sauerbrunn;10611;00136;Bad Sauerbrunn;7202
10612;Schattendorf;10612;00137;Schattendorf;7022
10613;Sieggraben;10613;00138;Sieggraben;7223
10614;Sigleß;10614;00140;Sigleß;7032
10615;Wiesen;10615;00141;Wiesen;7202 7203
10616;Antau;10616;00124;Antau / Otava;7041 7041
10617;Baumgarten;10617;00120;Baumgarten / Pajngrt;7021
10618;Zemendorf-Stöttera;10618;00132;Stöttera;7023
10618;Zemendorf-Stöttera;10618;00133;Zemendorf;7023
10619;Krensdorf;10619;00139;Krensdorf;7031
10701;Andau;10701;00142;Andau;7163
10702;Apetlon;10702;00143;Apetlon;7132 7143 7161
10703;Bruckneudorf;10703;00144;Bruckneudorf;2460
10703;Bruckneudorf;10703;00145;Kaisersteinbruch;2460 2462
10703;Bruckneudorf;10703;00146;Königshof;2460 2462
10704;Deutsch Jahrndorf;10704;00147;Deutsch Jahrndorf;2423
10705;Frauenkirchen;10705;00148;Frauenkirchen;7132
10706;Gattendorf;10706;00149;Gattendorf;2474
10707;Gols;10707;00152;Gols;7122
10708;Halbturn;10708;00153;Halbturn;7123 7131
10709;Illmitz;10709;00154;Illmitz;7142
10710;Jois;10710;00155;Jois;7093
10711;Kittsee;10711;00157;Kittsee;2421
10712;Mönchhof;10712;00158;Mönchhof;7123
10713;Neusiedl am See;10713;00159;Neusiedl am See;7100
10714;Nickelsdorf;10714;00160;Nickelsdorf;2425
10715;Pama;10715;00161;Pama / Bijelo Selo;2422
10716;Pamhagen;10716;00162;Pamhagen;7152
10717;Parndorf;10717;00163;Parndorf / Pandrof;2471 7111
10718;Podersdorf am See;10718;00164;Podersdorf am See;7141
10719;Sankt Andrä am Zicksee;10719;00165;Sankt Andrä am Zicksee;7161
10720;Tadten;10720;00166;Tadten;7162
10721;Wallern im Burgenland;10721;00167;Wallern im Burgenland;7151
10722;Weiden am See;10722;00168;Weiden am See;7100 7121
10723;Winden am See;10723;00169;Winden am See;7092
10724;Zurndorf;10724;00170;Zurndorf;2424
10725;Neudorf;10725;00150;Neudorf / Novo Selo;2475
10726;Potzneusiedl;10726;00151;Potzneusiedl;2473
10727;Edelstal;10727;00156;Edelstal;2413
10801;Deutschkreutz;10801;00171;Deutschkreutz;7301
10801;Deutschkreutz;10801;01192;Girm;7301
10802;Draßmarkt;10802;00173;Draßmarkt;7372
10802;Draßmarkt;10802;00174;Karl;7372
10802;Draßmarkt;10802;00175;Oberrabnitz;7371
10803;Frankenau-Unterpullendorf;10803;00176;Frankenau / Frakanava;7361
10803;Frankenau-Unterpullendorf;10803;00177;Großmutschen / Mucindrof;7452
10803;Frankenau-Unterpullendorf;10803;00178;Kleinmutschen / Pervane;7452
10803;Frankenau-Unterpullendorf;10803;00179;Unterpullendorf / Dolnja Pulja;7452
10804;Großwarasdorf;10804;00180;Großwarasdorf / Veliki Boritof;7304
10804;Großwarasdorf;10804;00181;Kleinwarasdorf / Mali Boritof;7304
10804;Großwarasdorf;10804;00182;Langental / Longitolj;7304
10804;Großwarasdorf;10804;00183;Nebersdorf / uevo;7304
10805;Horitschon;10805;00184;Horitschon;7312
10805;Horitschon;10805;00185;Unterpetersdorf;7312
10806;Kaisersdorf;10806;00186;Kaisersdorf / Kalitrof;7342
10807;Kobersdorf;10807;00188;Kobersdorf;7332
10807;Kobersdorf;10807;00189;Lindgraben;7341
10807;Kobersdorf;10807;00190;Oberpetersdorf;7332
10808;Lackenbach;10808;00191;Lackenbach;7322
10809;Lockenhaus;10809;00192;Glashütten bei Langeck im Burgenland;7442
10809;Lockenhaus;10809;00193;Hammerteich;7442
10809;Lockenhaus;10809;00194;Hochstraß;7442
10809;Lockenhaus;10809;00195;Langeck im Burgenland;7442
10809;Lockenhaus;10809;00196;Lockenhaus;7442
10810;Lutzmannsburg;10810;00197;Lutzmannsburg;7361
10810;Lutzmannsburg;10810;00198;Strebersdorf;7361
10811;Mannersdorf an der Rabnitz;10811;00199;Klostermarienberg;7444
10811;Mannersdorf an der Rabnitz;10811;00200;Liebing;7443
10811;Mannersdorf an der Rabnitz;10811;00201;Mannersdorf an der Rabnitz;7444
10811;Mannersdorf an der Rabnitz;10811;00203;Rattersdorf;7443
10811;Mannersdorf an der Rabnitz;10811;00204;Unterloisdorf;7444
10812;Markt Sankt Martin;10812;00205;Landsee;2812 7341
10812;Markt Sankt Martin;10812;00206;Markt Sankt Martin;7341
10812;Markt Sankt Martin;10812;00207;Neudorf bei Landsee;7341
10813;Neckenmarkt;10813;00208;Haschendorf;7311
10813;Neckenmarkt;10813;00209;Neckenmarkt;7311
10814;Neutal;10814;00210;Neutal;7343
10815;Nikitsch;10815;00211;Kroatisch Geresdorf / Geritof;7361
10815;Nikitsch;10815;00212;Kroatisch Minihof / Mjenovo;7302
10815;Nikitsch;10815;00213;Nikitsch / File;7302
10816;Oberpullendorf;10816;00214;Mitterpullendorf;7304 7350
10816;Oberpullendorf;10816;00215;Oberpullendorf / Felsöpulya;7350
10817;Pilgersdorf;10817;00216;Bubendorf im Burgenland;7441
10817;Pilgersdorf;10817;00217;Deutsch Gerisdorf;7441
10817;Pilgersdorf;10817;00218;Kogl im Burgenland;7441
10817;Pilgersdorf;10817;00219;Lebenbrunn;7441
10817;Pilgersdorf;10817;00220;Pilgersdorf;7441
10817;Pilgersdorf;10817;00221;Salmannsdorf;7441
10817;Pilgersdorf;10817;00222;Steinbach im Burgenland;7441
10818;Piringsdorf;10818;00223;Piringsdorf;7371
10819;Raiding;10819;00227;Raiding;7321
10820;Ritzing;10820;00229;Ritzing;7323
10821;Steinberg-Dörfl;10821;00230;Dörfl;7453
10821;Steinberg-Dörfl;10821;00231;Steinberg;7453
10822;Stoob;10822;00232;Stoob;7344 7350
10823;Weppersdorf;10823;00233;Kalkgruben;7331
10823;Weppersdorf;10823;00234;Tschurndorf;7331
10823;Weppersdorf;10823;00235;Weppersdorf;7331
10824;Lackendorf;10824;00226;Lackendorf;7321
10825;Unterfrauenhaid;10825;00228;Unterfrauenhaid;7321
10826;Unterrabnitz-Schwendgraben;10826;00224;Schwendgraben;7371
10826;Unterrabnitz-Schwendgraben;10826;00225;Unterrabnitz;7371
10827;Weingraben;10827;00187;Weingraben / Bajngrob;7372
10828;Oberloisdorf;10828;00202;Oberloisdorf;7451
10901;Bad Tatzmannsdorf;10901;00236;Bad Tatzmannsdorf;7431
10901;Bad Tatzmannsdorf;10901;00237;Jormannsdorf;7431
10901;Bad Tatzmannsdorf;10901;00238;Sulzriegel;7431
10902;Bernstein;10902;00239;Bernstein;7434
10902;Bernstein;10902;00240;Dreihütten;2852 7434
10902;Bernstein;10902;00241;Redlschlag;7434
10902;Bernstein;10902;00242;Rettenbach;7434
10902;Bernstein;10902;00243;Stuben;7434
10903;Deutsch Schützen-Eisenberg;10903;00244;Deutsch-Schützen;7474
10903;Deutsch Schützen-Eisenberg;10903;00245;Edlitz im Burgenland;7474
10903;Deutsch Schützen-Eisenberg;10903;00246;Eisenberg an der Pinka;7474
10903;Deutsch Schützen-Eisenberg;10903;00247;Höll;7474
10903;Deutsch Schützen-Eisenberg;10903;00248;Sankt Kathrein im Burgenland;7474
10904;Grafenschachen;10904;00249;Grafenschachen;7423
10904;Grafenschachen;10904;00250;Kroisegg;7423
10905;Großpetersdorf;10905;00252;Großpetersdorf;7503
10905;Großpetersdorf;10905;00254;Kleinpetersdorf;7503
10905;Großpetersdorf;10914;00255;Kleinzicken;7503 7503
10905;Großpetersdorf;10905;00256;Miedlingsdorf;7503
10905;Großpetersdorf;10905;00257;Welgersdorf;7503
10906;Hannersdorf;10906;00258;Burg;7473 7474
10906;Hannersdorf;10906;00259;Hannersdorf;7473
10906;Hannersdorf;10906;00260;Woppendorf;7473
10907;Kemeten;10907;00261;Kemeten;7531
10908;Kohfidisch;10908;00263;Harmisch;7512
10908;Kohfidisch;10908;00264;Kirchfidisch;7512
10908;Kohfidisch;10908;00265;Kohfidisch;7512
10909;Litzelsdorf;10909;00266;Litzelsdorf;7532
10910;Loipersdorf-Kitzladen;10910;00267;Kitzladen;7411
10910;Loipersdorf-Kitzladen;10910;00268;Loipersdorf im Burgenland;7411
10911;Mariasdorf;10911;00269;Bergwerk;7433
10911;Mariasdorf;10911;00270;Grodnau;7433
10911;Mariasdorf;10911;00271;Mariasdorf;7433
10911;Mariasdorf;10911;00272;Neustift bei Schlaining;7433
10911;Mariasdorf;10911;00273;Tauchen;7433
10912;Markt Allhau;10912;00274;Buchschachen;7411
10912;Markt Allhau;10912;00275;Markt Allhau;7411
10913;Markt Neuhodis;10913;00276;Althodis / Stari Hodas;7464
10913;Markt Neuhodis;10913;00277;Markt Neuhodis;7464
10914;Mischendorf;10914;00278;Großbachselten;7511
10914;Mischendorf;10914;00279;Kleinbachselten;7511
10914;Mischendorf;10914;00280;Kotezicken;7511
10914;Mischendorf;10914;00281;Mischendorf;7511
10914;Mischendorf;10914;00282;Neuhaus in der Wart;7511
10914;Mischendorf;10914;00283;Rohrbach an der Teich;7511
10915;Oberdorf im Burgenland;10915;00284;Oberdorf im Burgenland;7501
10916;Oberschützen;10916;00285;Aschau im Burgenland;2852 7432
10916;Oberschützen;10916;00286;Oberschützen;7400 7431 7432
10916;Oberschützen;10916;00287;Schmiedrait;7432
10916;Oberschützen;10916;00288;Unterschützen;7400
10916;Oberschützen;10916;00289;Willersdorf;7432
10917;Oberwart;10917;00290;Oberwart / Felsöör;7400
10917;Oberwart;10917;00291;Sankt Martin in der Wart;7400
10918;Pinkafeld;10918;00292;Hochart;7423
10918;Pinkafeld;10918;00293;Pinkafeld;7423
10919;Rechnitz;10919;00294;Rechnitz;7471
10920;Riedlingsdorf;10920;00295;Riedlingsdorf;7422
10921;Rotenturm an der Pinka;10921;00296;Rotenturm an der Pinka;7501
10921;Rotenturm an der Pinka;10921;00297;Siget in der Wart / Örisziget;7501
10921;Rotenturm an der Pinka;10921;00298;Spitzzicken / Hrvatski Cikljin;7501
10922;Schachendorf;10922;00299;Dürnbach im Burgenland / Vincjet;7472 7503
10922;Schachendorf;10922;00300;Schachendorf / Cajta;7472
10923;Stadtschlaining;10923;00302;Altschlaining;7461
10923;Stadtschlaining;10923;00303;Drumling;7400
10923;Stadtschlaining;10923;00304;Goberling;7461
10923;Stadtschlaining;10923;00305;Neumarkt im Tauchental;7461 7503
10923;Stadtschlaining;10923;00306;Stadtschlaining;7461
10924;Unterkohlstätten;10924;00307;Glashütten bei Schlaining;7435
10924;Unterkohlstätten;10924;00308;Günseck;7435
10924;Unterkohlstätten;10924;00309;Holzschlag;7434 7435
10924;Unterkohlstätten;10924;00310;Oberkohlstätten;7435
10924;Unterkohlstätten;10924;00311;Unterkohlstätten;7435
10925;Unterwart;10925;00312;Eisenzicken;7501
10925;Unterwart;10925;00313;Unterwart / Alsóör;7501
10926;Weiden bei Rechnitz;10926;00314;Allersdorf im Burgenland / Kljucarevci;7461
10926;Weiden bei Rechnitz;10926;00315;Allersgraben / irokani;7461
10926;Weiden bei Rechnitz;10926;00316;Mönchmeierhof / Marof;7461
10926;Weiden bei Rechnitz;10926;00317;Oberpodgoria / Podgorje;7463
10926;Weiden bei Rechnitz;10926;00318;Podler / Poljanci;7461
10926;Weiden bei Rechnitz;10926;00319;Rauhriegel / Rorigljin;7461
10926;Weiden bei Rechnitz;10926;00320;Rumpersdorf / Rupi?e;7463
10926;Weiden bei Rechnitz;10926;00321;Unterpodgoria / Bonjakov Brig;7463
10926;Weiden bei Rechnitz;10926;00322;Weiden bei Rechnitz / Bandol;7463
10926;Weiden bei Rechnitz;10926;00323;Zuberbach / Sabara;7463 7503
10927;Wiesfleck;10927;00324;Schönherrn;7423
10927;Wiesfleck;10927;00325;Schreibersdorf;7423
10927;Wiesfleck;10927;00326;Weinberg im Burgenland;7423
10927;Wiesfleck;10927;00327;Wiesfleck;7423
10928;Wolfau;10928;00328;Wolfau;7412
10929;Neustift an der Lafnitz;10929;00251;Neustift an der Lafnitz;7423
10930;Jabing;10930;00253;Jabing;7503
10931;Badersdorf;10931;00262;Badersdorf;7512
10932;Schandorf;10932;00301;Schandorf / Cemba;7472
20101;Klagenfurt am Wörthersee;20101;00329;Klagenfurt,01.Bez.:Innere Stadt;9020
20101;Klagenfurt am Wörthersee;20101;17286;Klagenfurt,02.Bez.:Innere Stadt;9020
20101;Klagenfurt am Wörthersee;20101;17287;Klagenfurt,03.Bez.:Innere Stadt;9020
20101;Klagenfurt am Wörthersee;20101;17288;Klagenfurt,04.Bez.:Innere Stadt;9020
20101;Klagenfurt am Wörthersee;20101;17289;Klagenfurt,05.Bez.:St.Veiter Vorstadt;9020
20101;Klagenfurt am Wörthersee;20101;17290;Klagenfurt,06.Bez.:Völkermarkt.Vorst.;9020
20101;Klagenfurt am Wörthersee;20101;17291;Klagenfurt,07.Bez.:Viktringer Vorstadt;9020 9073
20101;Klagenfurt am Wörthersee;20101;17292;Klagenfurt,08.Bez.:Villacher Vorstadt;9020
20101;Klagenfurt am Wörthersee;20101;17293;Klagenfurt,09.Bez.:Annabichl;9020 9061 9063
20101;Klagenfurt am Wörthersee;20101;17294;Klagenfurt,10.Bez.:St. Peter;9020
20101;Klagenfurt am Wörthersee;20101;17295;Klagenfurt,11.Bez.:St. Ruprecht;9020
20101;Klagenfurt am Wörthersee;20101;17296;Klagenfurt,12.Bez.:St. Martin;9020 9201
20101;Klagenfurt am Wörthersee;20101;17297;Klagenfurt,13.Bez.:Viktring;9020 9073
20101;Klagenfurt am Wörthersee;20101;17298;Klagenfurt,14.Bez.:Wölfnitz;9020 9061 9063 9201
20101;Klagenfurt am Wörthersee;20101;17299;Klagenfurt,15.Bez.:Hörtendorf;9020 9061
20201;Villach;20201;00330;Villach-Innere Stadt;9500
20201;Villach;20201;02331;Goritschach;9500
20201;Villach;20201;02332;Heiligengeist;9500
20201;Villach;20201;02333;Mittewald ob Villach;9500
20201;Villach;20201;02334;Neufellach;9500
20201;Villach;20201;02335;Obere Fellach;9500
20201;Villach;20201;02336;Pogöriach;9500
20201;Villach;20201;02337;St. Georgen;9500
20201;Villach;20201;02338;Untere Fellach;9500
20201;Villach;20201;02398;Drautschen;9241 9500
20201;Villach;20201;02399;Gratschach;9523
20201;Villach;20201;02400;Gritschach;9500
20201;Villach;20201;02401;Großvassach;9500
20201;Villach;20201;02402;Heiligen Gestade;9523
20201;Villach;20201;02403;Kleinvassach;9500
20201;Villach;20201;02404;Kumitz;9500 9523
20201;Villach;20201;02405;Landskron;9500 9523 9524
20201;Villach;20201;02407;Neulandskron;9500 9523
20201;Villach;20201;02408;Oberwollanig;9500
20201;Villach;20201;02409;Rennstein;9500
20201;Villach;20201;02410;St. Andrä;9523
20201;Villach;20201;02411;St. Leonhard;9500
20201;Villach;20201;02412;St. Magdalen;9524
20201;Villach;20201;02413;St. Michael;9500 9523
20201;Villach;20201;02414;St. Ruprecht;9523
20201;Villach;20201;02415;St. Ulrich;9500 9524
20201;Villach;20201;02416;Unterwollanig;9500
20201;Villach;20201;02417;Urlaken;9523
20201;Villach;20201;02418;Zauchen;9500 9523
20201;Villach;20201;02433;Bogenfeld;9580
20201;Villach;20201;02434;Dobrova;9500
20201;Villach;20201;02436;Duel;9500
20201;Villach;20201;02437;Egg am Faaker See;9580
20201;Villach;20201;02438;Graschitz;9580
20201;Villach;20201;02439;Greuth;9580
20201;Villach;20201;02440;Großsattel;9580
20201;Villach;20201;02441;Kleinsattel;9500
20201;Villach;20201;02442;Kratschach;9580
20201;Villach;20201;02443;Maria Gail;9500
20201;Villach;20201;02444;Mittewald;9580
20201;Villach;20201;02445;Prossowitsch;9500
20201;Villach;20201;02446;St. Niklas an der Drau;9580
20201;Villach;20201;02447;Serai;9580
20201;Villach;20201;02448;Tschinowitsch;9500
20201;Villach;20201;02449;Turdanitsch;9500
20201;Villach;20201;17316;Weißenbach;9500
20201;Villach;20201;17318;Drobollach am Faaker See;9580
20201;Villach;20201;17427;Oberfederaun;9586
20201;Villach;20201;17428;Oberschütt;9586 9587
20201;Villach;20201;17429;Unterfederaun;9586
20201;Villach;20201;17430;Unterschütt;9586
20201;Villach;20201;17446;Villach-Auen;9500 9504
20201;Villach;20201;17447;Villach-Seebach-Wasenboden;9500 9523 9524
20201;Villach;20201;17448;Villach-Lind;9500
20201;Villach;20201;17449;Villach-St. Agathen und Perau;9500
20201;Villach;20201;17450;Villach-St. Martin;9500
20201;Villach;20201;17451;Villach-Völkendorf;9500 9504
20201;Villach;20201;17452;Villach-Warmbad-Judendorf;9500 9504 9585
20302;Dellach;20302;00338;Dellach;9635
20302;Dellach;20302;00339;Goldberg;9635
20302;Dellach;20302;00340;Gurina;9635
20302;Dellach;20302;00341;Höfling;9640
20302;Dellach;20302;00342;Leifling;9635
20302;Dellach;20302;00343;Monsell;9635
20302;Dellach;20302;00344;Nölbling;9635
20302;Dellach;20302;00345;Rüben;9635
20302;Dellach;20302;00346;St. Daniel;9635
20302;Dellach;20302;00347;Siegelberg;9635
20302;Dellach;20302;00348;Stollwitz;9635
20302;Dellach;20302;00349;Wieserberg;9635
20305;Hermagor-Pressegger See;20305;00350;Braunitzen;9620
20305;Hermagor-Pressegger See;20305;00351;Brugg;9624
20305;Hermagor-Pressegger See;20305;00352;Dellach;9624
20305;Hermagor-Pressegger See;20305;00353;Egg;9620 9624
20305;Hermagor-Pressegger See;20305;00354;Eggforst;9620
20305;Hermagor-Pressegger See;20305;00355;Fritzendorf;9624
20305;Hermagor-Pressegger See;20305;00356;Götzing;9624
20305;Hermagor-Pressegger See;20305;00357;Grafenau;9624
20305;Hermagor-Pressegger See;20305;00358;Kreuth ob Mellweg;9624
20305;Hermagor-Pressegger See;20305;00359;Latschach;9624
20305;Hermagor-Pressegger See;20305;00361;Mellach;9624
20305;Hermagor-Pressegger See;20305;00362;Mellweg;9624
20305;Hermagor-Pressegger See;20305;00363;Micheldorf;9624
20305;Hermagor-Pressegger See;20305;00364;Nampolach;9624
20305;Hermagor-Pressegger See;20305;00365;Neudorf;9620
20305;Hermagor-Pressegger See;20305;00366;Paßriach;9624
20305;Hermagor-Pressegger See;20305;00367;Potschach;9620 9624
20305;Hermagor-Pressegger See;20305;00368;Süßenberg;9624
20305;Hermagor-Pressegger See;20305;00369;Toschehof;9624
20305;Hermagor-Pressegger See;20305;00370;Förolach;9615
20305;Hermagor-Pressegger See;20305;00371;Görtschach;9615
20305;Hermagor-Pressegger See;20305;00372;Presseggen;9615 9620
20305;Hermagor-Pressegger See;20305;00373;Schinzengraben;9615
20305;Hermagor-Pressegger See;20305;00374;Siebenbrünn;9615
20305;Hermagor-Pressegger See;20305;00375;Wittenig;9615
20305;Hermagor-Pressegger See;20305;00376;Zuchen;9615
20305;Hermagor-Pressegger See;20305;00377;Aigen;9620
20305;Hermagor-Pressegger See;20305;00378;Grünburg;9620
20305;Hermagor-Pressegger See;20305;00380;Hermagor;9620
20305;Hermagor-Pressegger See;20305;00381;Khünburg;9620
20305;Hermagor-Pressegger See;20305;00382;Kraß;9620
20305;Hermagor-Pressegger See;20305;00383;Kreuth ob Möschach;9620
20305;Hermagor-Pressegger See;20305;00384;Kühwegboden;9620
20305;Hermagor-Pressegger See;20305;00385;Liesch;9620
20305;Hermagor-Pressegger See;20305;00386;Neuprießenegg;9620
20305;Hermagor-Pressegger See;20305;00387;Obermöschach;9620
20305;Hermagor-Pressegger See;20305;00388;Obervellach;9620
20305;Hermagor-Pressegger See;20305;00389;Presseggersee;9620
20305;Hermagor-Pressegger See;20305;00390;Radnig;9620
20305;Hermagor-Pressegger See;20305;00391;Radnigforst;9620
20305;Hermagor-Pressegger See;20305;00393;Untermöschach;9620
